trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,preprocess_s,generate_s,decode_parse_s,wall_s,input_tokens,output_tokens,hit_output_limit,peak_allocated_gib,peak_reserved_gib,error
17,shot,0,1,error,,,,,,,0.000730790663510561,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
18,shot,1,1,error,,,,,,,0.0007339399307966232,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
19,dark_shot,0,1,error,,,,,,,0.0007378733716905117,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
20,dark_shot,1,1,error,,,,,,,0.0007234080694615841,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
21,free_throw,0,1,error,,,,,,,0.0007324628531932831,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
22,free_throw,1,1,error,,,,,,,0.0007236143574118614,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
23,bench,0,1,error,,,,,,,0.0007131979800760746,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
24,bench,1,1,error,,,,,,,0.000734974630177021,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
25,closeup,0,1,error,,,,,,,0.0008412539027631283,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
26,closeup,1,1,error,,,,,,,0.0007772399112582207,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
27,dunk,0,1,error,,,,,,,0.0007522031664848328,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
28,dunk,1,1,error,,,,,,,0.0007247813045978546,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
29,football,0,1,error,,,,,,,0.0007288381457328796,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
30,football,1,1,error,,,,,,,0.0007379651069641113,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
31,swimming,0,1,error,,,,,,,0.0007185894064605236,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
32,swimming,1,1,error,,,,,,,0.0007186089642345905,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
33,shot,0,2,error,,,,,,,0.0007254616357386112,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
34,shot,1,2,error,,,,,,,0.0007165609858930111,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
35,dark_shot,0,2,error,,,,,,,0.0007828045636415482,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
36,dark_shot,1,2,error,,,,,,,0.0007490711286664009,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
37,free_throw,0,2,error,,,,,,,0.0007226858288049698,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
38,free_throw,1,2,error,,,,,,,0.0007155002094805241,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
39,bench,0,2,error,,,,,,,0.0007593207992613316,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
40,bench,1,2,error,,,,,,,0.0007216599769890308,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
41,closeup,0,2,error,,,,,,,0.0007084072567522526,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
42,closeup,1,2,error,,,,,,,0.0007479740306735039,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
43,dunk,0,2,error,,,,,,,0.0007091178558766842,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
44,dunk,1,2,error,,,,,,,0.0007043667137622833,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
45,football,0,2,error,,,,,,,0.0007329722866415977,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
46,football,1,2,error,,,,,,,0.0008045248687267303,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
47,swimming,0,2,error,,,,,,,0.0007528173737227917,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
48,swimming,1,2,error,,,,,,,0.0007473882287740707,,,,8.272686004638672,9.0078125,KeyError: 'video_fps'
