job_id,model,condition,job_status,fps,max_frames,total_tokens,max_new_tokens,prompt,trial,query_id,variant,repeat,status,parse_status,span_count,invalid_span_count,wall_s,preprocess_s,generate_s,decode_parse_s,peak_allocated_gib,peak_reserved_gib,input_tokens,output_tokens,hit_output_limit,error
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,17,shot,0,1,error,,,,0.001515761949121952,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,18,shot,1,1,error,,,,0.0013971300795674324,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,19,dark_shot,0,1,error,,,,0.0012761401012539864,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,20,dark_shot,1,1,error,,,,0.001275310292840004,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,21,free_throw,0,1,error,,,,0.0012600789777934551,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,22,free_throw,1,1,error,,,,0.001284490805119276,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,23,bench,0,1,error,,,,0.001170869916677475,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,24,bench,1,1,error,,,,0.0010765851475298405,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,25,closeup,0,1,error,,,,0.0010374370031058788,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
timelens2-8b__native,timelens2-8b,native,failed,1,256,16384,1024,native,26,closeup,1,1,error,,,,0.0010221367701888084,,,,16.330106735229492,16.357421875,,,,KeyError: 'video_fps'
